Expression: painstaking work; travail de fourmi
painstaking work; Le rapport nécessitait un travail méticuleux pour être complet et précis.
painstaking work; Il a consacré des heures de travail méticuleux à la restauration de cette peinture ancienne.
patience is a virtue; La patience est une vertu, elle peut apporter de grandes récompenses.
patience is a virtue; Il a appris que la patience est une vertu importante pour réussir dans la vie.
time flies; Le temps passe tellement vite quand on s'amuse !
time flies; On dit que le temps passe vite quand on est occupé.
a blessing in disguise; Ce licenciement s'est avéré être une bénédiction déguisée, car il a ouvert de nouvelles portes.
a blessing in disguise; Parfois, ce qui semble être une tragédie est en réalité une bénédiction déguisée.
when pigs fly; Tu peux y croire quand les poules auront des dents !
when pigs fly; Cet événement n'arrivera jamais, c'est comme si les poules avaient des dents.
like two peas in a pod; Ces jumeaux sont comme deux gouttes d'eau.
like two peas in a pod; Ils se ressemblent tellement, on dirait qu'ils sont frère et sœur.

Expression: have a lot of trouble doing something; un mal de chien
The presentation was a piece of cake, I had rehearsed it many times.; La présentation était un jeu d'enfant, je l'avais répétée plusieurs fois.
She had a lot of trouble persuading him to go to the party.; Elle a eu beaucoup de mal à le persuader d'aller à la fête.
Learning to ride a bike was a piece of cake for him, he picked it up quickly.; Apprendre à faire du vélo était un jeu d'enfant pour lui, il a vite compris.
They had a lot of trouble finding a parking spot in the crowded city.; Ils ont eu beaucoup de mal à trouver une place de parking dans la ville bondée.
Cooking the new recipe was a piece of cake with the help of a video tutorial.; Cuisiner la nouvelle recette a été un jeu d'enfant avec l'aide d'un tutoriel vidéo.
She had a lot of trouble understanding the complicated instructions.; Elle a eu beaucoup de mal à comprendre les instructions compliquées.
As an experienced baker, making the cake was a piece of cake for her.; En tant que boulangère expérimentée, faire le gâteau a été un jeu d'enfant pour elle.
He had a lot of trouble fixing the broken sink without any tools.; Il a eu beaucoup de mal à réparer l'évier cassé sans aucun outil.
Memorizing the speech was a piece of cake due to her excellent memory skills.; Mémoriser le discours a été un jeu d'enfant grâce à ses excellentes capacités de mémorisation.
They had a lot of trouble agreeing on a location for the weekend getaway.; Ils ont eu beaucoup de mal à se mettre d'accord sur un endroit pour l'escapade du week-end.

Expression: hurt like hell; un mal de chien
hurt like hell; Son bras est tellement douloureux, il souffre le martyre.
I fell down the stairs and my ankle hurts like hell now.; Je suis tombé dans les escaliers et maintenant ma cheville me fait un mal de chien.

a blessing in disguise; Le licenciement inattendu a été une bénédiction déguisée.
Losing my job turned out to be a blessing in disguise as it pushed me to start my own business.; Perdre mon emploi s'est révélé être une bénédiction déguisée car cela m'a poussé à créer ma propre entreprise.

rain or shine; La course aura lieu coûte que coûte, qu'il pleuve ou qu'il fasse beau.
The outdoor event will happen rain or shine, so be prepared for any weather.; L'événement en extérieur aura lieu coûte que coûte, alors soyez prêts pour n'importe quel temps.

hit the nail on the head; Le prof a vraiment mis le doigt sur le bobo avec ses commentaires.
Her analysis hit the nail on the head and uncovered the root of the problem.; Son analyse a vraiment mis le doigt sur le bobo et a mis en lumière la cause du problème.

go the extra mile; Il va toujours au-delà de ce qui est demandé, c'est fantastique.
She's known for her dedication and willingness to go the extra mile in her work.; Elle est reconnue pour son dévouement et sa volonté d'aller au-delà de ce qui est demandé dans son travail.

spill the beans; Il a fini par craquer et tout révéler à la police.
Under intense interrogation, he finally spilled the beans about the robbery.; Sous un interrogatoire intense, il a enfin tout révélé sur le vol.

by the skin of your teeth; Il a réussi à s'échapper juste à temps.
She managed to finish the project by the skin of her teeth before the deadline.; Elle a réussi à terminer le projet juste à temps, de justesse avant la date limite.

butter someone up; Elle essaie de le flatter pour obtenir une faveur.
He thought she was just buttering him up with compliments to get what she wanted.; Il pensait qu'elle ne faisait que le flatter avec des compliments pour obtenir ce qu'elle voulait.

cry over spilled milk; Il vaut mieux se concentrer sur une solution plutôt que de pleurer sur le lait renversé.
There's no use crying over spilled milk; let's focus on how to move forward from here.; Il est inutile de pleurer sur le lait renversé ; concentrons-nous sur la manière de progresser à partir de là.

burn the midnight oil; Elle a dû rester éveillée jusqu'à tard dans la nuit pour terminer le projet.
They had to burn the midnight oil to prepare for the upcoming exam.; Ils ont dû veiller tard dans la nuit pour se préparer à l'examen à venir.

Expression: have breeding; avoir de la branche
have breeding; avoir de l'élevage
She comes from a family that has breeding horses for generations.; Elle vient d'une famille qui a de l'élevage de chevaux depuis des générations.
He doesn't have the necessary knowledge or resources to have breeding of rare birds.; Il n'a pas les connaissances ni les ressources nécessaires pour avoir de l'élevage d'oiseaux rares.
hit the hay; aller au lit
After a long day at work, I'm ready to hit the hay and get some rest.; Après une longue journée de travail, je suis prêt(e) à aller au lit et me reposer.
He decided to hit the hay early because he had to wake up at dawn the next day.; Il a décidé d'aller au lit tôt car il devait se lever à l'aube le lendemain.
keep a lid on it; garder un secret
I trusted her to keep a lid on it, but she ended up telling everyone about my surprise party.; Je lui ai fait confiance pour garder un secret, mais elle a fini par tout dire sur ma fête surprise.
It's important to keep a lid on it until the official announcement is made.; Il est important de garder un secret jusqu'à ce que l'annonce officielle soit faite.
like taking candy from a baby; comme prendre des bonbons à un bébé
Solving that puzzle was like taking candy from a baby, it was too easy.; Résoudre ce casse-tête était comme prendre des bonbons à un bébé, c'était trop facile.
He found the exam questions like taking candy from a baby, as he had studied extensively for them.; Il a trouvé les questions de l'examen comme prendre des bonbons à un bébé, car il les avait étudiées en profondeur.
jump through hoops; sauter à travers des cerceaux
The bureaucracy required me to jump through hoops to get the necessary permits.; La bureaucratie m'a obligé à sauter à travers des cerceaux pour obtenir les permis nécessaires.
She had to jump through hoops to meet all the requirements for the scholarship.; Elle a dû sauter à travers des cerceaux pour remplir toutes les conditions pour la bourse.
make a mountain out of a molehill; en faire tout un plat
She always makes a mountain out of a molehill, even for minor inconveniences.; Elle en fait toujours tout un plat, même pour de petits désagréments.
He tends to make a mountain out of a molehill when it comes to criticism.; Il a tendance à en faire tout un plat quand il s'agit de critiques.
miss the boat; rater le bâteau
If you don't act fast, you'll miss the boat on this incredible opportunity.; Si vous n'agissez pas rapidement, vous risquez de rater le bâteau sur cette incroyable opportunité.
He regretted procrastinating as he realized he had missed the boat on the limited edition release.; Il regretta de procrastiner en réalisant qu'il avait rater le bâteau sur la sortie en édition limitée.

Expression: full of beans; avoir la patate
The children were so full of beans after the birthday party; Les enfants étaient pleins d'énergie après la fête d'anniversaire.
She was full of beans after her morning run; Elle était pleine d'énergie après sa course du matin.
He's always full of beans in the morning; Il est toujours plein d'énergie le matin.
The puppy was full of beans at the park; Le chiot était plein d'énergie au parc.
After a good night's sleep, she woke up full of beans; Après une bonne nuit de sommeil, elle s'est réveillée pleine d'énergie.
The team was full of beans before the championship game; L'équipe était pleine d'énergie avant le match de championnat.
The kids were full of beans at the playground; Les enfants étaient pleins d'énergie au terrain de jeux.
She's always full of beans during dance class; Elle est toujours pleine d'énergie pendant le cours de danse.
The students were full of beans on the school field trip; Les élèves étaient pleins d'énergie lors de la sortie scolaire.
The cat was full of beans chasing the toy mouse; Le chat était plein d'énergie en poursuivant la souris en peluche.

Expression: To have ones back against the wall; avoir le couteau sous la gorge
To have ones back against the wall; Avoir le dos au mur
With all these deadlines looming, I feel like I have my back against the wall; Avec toutes ces échéances qui se profilent, j'ai l'impression d'avoir le dos au mur
He had no choice but to fight with his back against the wall; Il n'avait d'autre choix que de se battre avec le dos au mur
The negotiations are intense, and I sense our backs against the wall; Les négociations sont intenses, et je sens que nous avons le dos au mur
She always performs better when her back is against the wall; Elle performe toujours mieux quand elle a le dos au mur
I had to make a tough decision with my back against the wall; J'ai dû prendre une décision difficile avec le dos au mur
The team fought hard, with their backs against the wall, and managed to secure the win; L'équipe s'est battue avec acharnement, le dos au mur, et a réussi à remporter la victoire
We won't give up, even with our backs against the wall; Nous n'abandonnerons pas, même avec le dos au mur
Having your back against the wall can bring out the best in you; Avoir le dos au mur peut faire ressortir le meilleur de vous
We're in a tough situation, but we always fight hardest with our backs against the wall; Nous sommes dans une situation difficile, mais nous nous battons toujours le plus fort avec le dos au mur

Expression: One foot in the grave; avoir un pied dans la tombe
One foot in the grave; Il a un pied dans la tombe
After the car accident, the old man felt like he had one foot in the grave; Après l'accident de voiture, le vieil homme avait l'impression d'avoir un pied dans la tombe
She looks very frail, like she has one foot in the grave; Elle a l'air très fragile, comme si elle avait un pied dans la tombe
For the family, the man's worsening health felt like he had one foot in the grave; Pour sa famille, la détérioration de la santé de l'homme semblait le mettre un pied dans la tombe
The doctor's diagnosis made it seem like he had one foot in the grave; Le diagnostic du médecin donna l'impression qu'il avait un pied dans la tombe
